Hourly measurement data supplied by UK-air on 07/12/2021
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"Bexley - Belvedere West",,"Birmingham Airport 2",,"Breckland East Wretham",,"Brent - Ikea",,"Bridgend Park Street",,"Chichester - Lodsworth",,"Eastbourne - Devonshire Park",,"Glasgow Waulkmillglen Reservoir",,"Greenwich - Falconwood",,"Greenwich - Plumstead High Street",,"Greenwich - Westhorne Avenue",,"Greenwich - Woolwich Flyover",,"H&F Hammersmith Town Centre",,"Hackney - Old Street",,"Hounslow Cranford",,"Lewes - Newhaven",,"Lewisham - Honor Oak Park",,"Luton Airport FutureLuToN",,"Marchlyn Mawr",,"Newport M4 Junction 25",,"Oxford St Ebbes (Cal Club)",,"Redbridge - Ley Street",,"Redcar Dormanstown",,"Reigate and Banstead - Poles Lane",,"Richmond Upon Thames - Barnes Wetlands",,"Rother - Rye Harbour",,"Salford M60",,"Sevenoaks - Greatness Park",,"South Holland Westmere School",,"Southwark - Elephant and Castle",,"Swansea Cwm Level Park",,"Swansea Hafod DOAS",,"Swansea Morriston Roadside",,"Swansea St Thomas DOAS",,"Tower Hamlets - Blackwall",,"Tower Hamlets - Millwall Park",,"V Glamorgan Windsor Road Penarth",,"Wealden - Isfield",
Date,Time,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status
2021-01-01,01:00:00,23.3,V ugm-3,2.79636,N ugm-3,18.56001,N ugm-3,17.7,V ugm-3,No data,,31.2,V ugm-3,23.5,V ugm-3,No data,V ugm-3,20,V ugm-3,13.2,V ugm-3,No data,V ugm-3,14.2,V ugm-3,16.81045,V ugm-3,29.3,V ugm-3,No data,,25.7,V ugm-3,27.7,N ugm-3,18.12761,N ugm-3,37,V ugm-3,11,N ugm-3,7.05231,N ugm-3,No data,,13.57076,N ugm-3,39,V ugm-3,28.3,V ugm-3,32.5,V ugm-3,2.66093,N ugm-3,31.2,N ugm-3,11.24244,N ugm-3,22.7,V ugm-3,4,V ugm-3,19,N ugm-3,2,N ugm-3,No data,N ugm-3,15.1,N ugm-3,26.82952,N ugm-3,2,V ugm-3,29.6,V ugm-3
2021-01-01,02:00:00,32.7,V ugm-3,24.484,N ugm-3,15.23384,N ugm-3,14,V ugm-3,No data,,31.8,V ugm-3,28,V ugm-3,No data,V ugm-3,20.7,V ugm-3,25.8,V ugm-3,No data,V ugm-3,24.4,V ugm-3,17.71516,V ugm-3,40.6,V ugm-3,No data,,30.7,V ugm-3,37.8,N ugm-3,21.10453,N ugm-3,29,V ugm-3,14,N ugm-3,7.07575,N ugm-3,30.5,N ugm-3,16.21506,N ugm-3,41.5,V ugm-3,22.3,V ugm-3,36.4,V ugm-3,2.66093,N ugm-3,37.1,N ugm-3,15.30037,N ugm-3,32.5,V ugm-3,2,V ugm-3,26,N ugm-3,1,N ugm-3,No data,N ugm-3,25.7,N ugm-3,39.45938,N ugm-3,3,V ugm-3,33.7,V ugm-3
2021-01-01,03:00:00,41.6,V ugm-3,26.69378,N ugm-3,14.96775,N ugm-3,29.5,V ugm-3,No data,,29,V ugm-3,34.4,V ugm-3,No data,V ugm-3,29.7,V ugm-3,30.9,V ugm-3,No data,V ugm-3,30.1,V ugm-3,30.83357,V ugm-3,37.9,V ugm-3,No data,,36.6,V ugm-3,46.9,N ugm-3,26.60933,N ugm-3,30,V ugm-3,12,N ugm-3,9.34886,N ugm-3,31.3,N ugm-3,42.25895,N ugm-3,44.6,V ugm-3,31.4,V ugm-3,39.2,V ugm-3,5.18882,N ugm-3,30.4,N ugm-3,17.61205,N ugm-3,35.1,V ugm-3,2,V ugm-3,22,N ugm-3,1,N ugm-3,No data,N ugm-3,25.9,N ugm-3,44.47208,N ugm-3,4,V ugm-3,33.3,V ugm-3
2021-01-01,04:00:00,39.4,V ugm-3,23.05154,N ugm-3,14.51872,N ugm-3,22.2,V ugm-3,No data,,23.5,V ugm-3,38.2,V ugm-3,No data,V ugm-3,31.8,V ugm-3,27.9,V ugm-3,No data,V ugm-3,31.6,V ugm-3,28.39881,V ugm-3,34.9,V ugm-3,No data,,38,V ugm-3,48.6,N ugm-3,23.88188,N ugm-3,31,V ugm-3,15,N ugm-3,11.94975,N ugm-3,27.3,N ugm-3,54.78197,N ugm-3,44.6,V ugm-3,36.4,V ugm-3,40.3,V ugm-3,2.44473,N ugm-3,36.3,N ugm-3,17.51227,N ugm-3,38.4,V ugm-3,3,V ugm-3,28,N ugm-3,1,N ugm-3,No data,N ugm-3,24.9,N ugm-3,45.80999,N ugm-3,3,V ugm-3,35.1,V ugm-3
2021-01-01,05:00:00,36.7,V ugm-3,20.19582,N ugm-3,15.91571,N ugm-3,21.9,V ugm-3,No data,,23.2,V ugm-3,42.3,V ugm-3,No data,V ugm-3,31.8,V ugm-3,21,V ugm-3,No data,V ugm-3,25.5,V ugm-3,29.4715,V ugm-3,23.9,V ugm-3,No data,,37.4,V ugm-3,42.2,N ugm-3,20.93822,N ugm-3,33,V ugm-3,10,N ugm-3,7.40505,N ugm-3,29.2,N ugm-3,54.63229,N ugm-3,46.3,V ugm-3,27.3,V ugm-3,39.7,V ugm-3,2.29506,N ugm-3,41.2,N ugm-3,19.75743,N ugm-3,26.7,V ugm-3,3,V ugm-3,31,N ugm-3,1,N ugm-3,No data,N ugm-3,15.5,N ugm-3,36.17705,N ugm-3,2,V ugm-3,41.5,V ugm-3
2021-01-01,06:00:00,24.3,V ugm-3,18.15833,N ugm-3,14.46883,N ugm-3,23.6,V ugm-3,No data,,22.4,V ugm-3,41.8,V ugm-3,No data,V ugm-3,15.7,V ugm-3,15.5,V ugm-3,No data,V ugm-3,14.2,V ugm-3,28.71812,V ugm-3,21.5,V ugm-3,No data,,42.8,V ugm-3,35.1,N ugm-3,24.597,N ugm-3,42,V ugm-3,12,N ugm-3,7.37411,N ugm-3,17.4,N ugm-3,54.83186,N ugm-3,45.5,V ugm-3,31.4,V ugm-3,34.4,V ugm-3,1.79613,N ugm-3,43.2,N ugm-3,18.85937,N ugm-3,21.8,V ugm-3,3,V ugm-3,34,N ugm-3,1,N ugm-3,No data,N ugm-3,17.3,N ugm-3,20.81786,N ugm-3,7,V ugm-3,43.3,V ugm-3
2021-01-01,07:00:00,20.6,V ugm-3,15.10497,N ugm-3,14.21936,N ugm-3,20.2,V ugm-3,No data,,22.8,V ugm-3,38.7,V ugm-3,No data,V ugm-3,15.7,V ugm-3,15.5,V ugm-3,No data,V ugm-3,15.7,V ugm-3,30.36957,V ugm-3,22,V ugm-3,No data,,43.5,V ugm-3,31.6,N ugm-3,26.39313,N ugm-3,51,V ugm-3,7,N ugm-3,7.25387,N ugm-3,16.2,N ugm-3,53.33508,N ugm-3,39.1,V ugm-3,27.8,V ugm-3,35.2,V ugm-3,1.29721,N ugm-3,38.3,N ugm-3,14.36904,N ugm-3,18.4,V ugm-3,1,V ugm-3,18,N ugm-3,1,N ugm-3,No data,N ugm-3,17.5,N ugm-3,23.49367,N ugm-3,11,V ugm-3,45.6,V ugm-3
2021-01-01,08:00:00,19.9,V ugm-3,11.14086,N ugm-3,11.87442,N ugm-3,18.6,V ugm-3,No data,,22.2,V ugm-3,40.1,V ugm-3,No data,V ugm-3,15.2,V ugm-3,13.5,V ugm-3,No data,V ugm-3,13.2,V ugm-3,26.81722,V ugm-3,17.5,V ugm-3,No data,,39.4,V ugm-3,27.9,N ugm-3,19.94037,N ugm-3,52,V ugm-3,9,N ugm-3,4.25134,N ugm-3,16.4,N ugm-3,50.34153,N ugm-3,38.4,V ugm-3,27.3,V ugm-3,39.9,V ugm-3,1.29721,N ugm-3,35.8,N ugm-3,11.22581,N ugm-3,20.3,V ugm-3,1,V ugm-3,13,N ugm-3,1,N ugm-3,No data,N ugm-3,14.8,N ugm-3,20.76434,N ugm-3,11,V ugm-3,48.7,V ugm-3
2021-01-01,09:00:00,18.2,V ugm-3,9.74848,N ugm-3,12.07399,N ugm-3,18.6,V ugm-3,No data,,23.6,V ugm-3,39.9,V ugm-3,No data,V ugm-3,15.2,V ugm-3,12.5,V ugm-3,No data,V ugm-3,14.7,V ugm-3,26.66255,V ugm-3,16,V ugm-3,No data,,40.3,V ugm-3,27.2,N ugm-3,17.11313,N ugm-3,54,V ugm-3,2,N ugm-3,2.85934,N ugm-3,17.3,N ugm-3,48.14626,N ugm-3,41,V ugm-3,32.4,V ugm-3,41.9,V ugm-3,1.39699,N ugm-3,28.9,N ugm-3,10.77678,N ugm-3,22.3,V ugm-3,1,V ugm-3,12,N ugm-3,2,N ugm-3,No data,N ugm-3,12.7,N ugm-3,20.92489,N ugm-3,6,V ugm-3,45.4,V ugm-3
