UK-AIR ID,EU Site ID,EMEP Site ID,lookupvalue_data,lookup_settelment,Site Name,Environment Type,Zone,Start Date,End Date,Latitude,Longitude,Northing,Easting,Altitude (m),Networks,AURN Pollutants Measured,Site Description
ABD1,,,Aberdeen Anderson Dr,Aberdeen City,Aberdeen Anderson Dr (Aberdeen City),Urban Traffic,North East Scotland,01/01/2005,,57.128567,-2.125447,804189.75,392504.39,,Locally-managed automatic monitoring,,
AD1,,,Aberdeen King Street,Aberdeen City,Aberdeen King Street (Aberdeen City),Urban Traffic,North East Scotland,25/11/2008,,57.169738,-2.095348,808770,394333,,Locally-managed automatic monitoring,,
ABD2,,,Aberdeen Market St,Aberdeen City,Aberdeen Market St (Aberdeen City),Urban Traffic,North East Scotland,01/01/2005,19/01/2009,57.143889,-2.093889,805892.34,394417.27,,Locally-managed automatic monitoring,,
ABD0,,,Aberdeen Market Street 2,Aberdeen City,Aberdeen Market Street 2 (Aberdeen City),Urban Traffic,North East Scotland,01/06/2009,,57.141922,-2.091664,805673.18,394551.62,,Locally-managed automatic monitoring,,
ABD3,,,Aberdeen Union Street Roadside,Aberdeen City,Aberdeen Union Street Roadside (Aberdeen City),Urban Traffic,North East Scotland,01/01/2005,,57.144555,-2.106472,805967.6,393655.92,,Locally-managed automatic monitoring,,
ABD8,,,Aberdeen Wellington Road,Aberdeen City,Aberdeen Wellington Road (Aberdeen City),Urban Traffic,North East Scotland,01/01/2008,,57.134195,-2.093968,804813.2,394410.99,,Locally-managed automatic monitoring,,
AD1,,,Adur - Shoreham-by-Sea,Adur,Adur - Shoreham-by-Sea (Adur),Urban Traffic,Brighton/Worthing/Littlehampton,25/11/2008,,50.832149,-0.277499,105037.32,521399.04,,Locally-managed automatic monitoring,,
ALOA,,,Alloa,Clackmannanshire,Alloa (Clackmannanshire),Urban Traffic,North East Scotland,20/09/2006,13/01/2015,56.117258,-3.791896,693059.02,288684.05,,Locally-managed automatic monitoring,,
ALO2,,,Alloa A907,Clackmannanshire,Alloa A907 (Clackmannanshire),Urban Traffic,North East Scotland,14/01/2015,,56.117343,-3.791818,693068,288689,,Locally-managed automatic monitoring,,
AMVL,,,Amvale,North Lincolnshire,Amvale (North Lincolnshire),Not Available,Yorkshire & Humberside,01/06/2010,,53.567706,-0.622228,408782,491343,,Locally-managed automatic monitoring,,
AMV2,,,Amvale Osiris,North Lincolnshire,Amvale Osiris (North Lincolnshire),Not Available,Yorkshire & Humberside,22/05/2015,,53.5679,-0.6223,408782,491343,,Locally-managed automatic monitoring,,
ANG5,,,Anglesey Brynteg,Isle of Anglesey,Anglesey Brynteg (Isle of Anglesey),Rural Industrial,North Wales,01/08/2007,,53.307155,-4.274216,381325,248566,,Locally-managed automatic monitoring,,
ANG4,,,Anglesey Coastal Park,Isle of Anglesey,Anglesey Coastal Park (Isle of Anglesey),Urban Industrial,North Wales,29/06/2007,27/11/2008,53.301849,-4.591933,381456,227379,,Locally-managed automatic monitoring,,
AN10,,,Anglesey Felin Cafnan,Isle of Anglesey,Anglesey Felin Cafnan (Isle of Anglesey),Rural Background,North Wales,16/12/2015,29/04/2019,53.410479,-4.493642,393304,234349,,Locally-managed automatic monitoring,,
ANG6,,,Anglesey Holyhead,Isle of Anglesey,Anglesey Holyhead (Isle of Anglesey),Not Available,North Wales,08/05/2009,11/05/2010,53.308628,-4.632577,382309,224699,,Locally-managed automatic monitoring,,
ANG2,,,Anglesey Llynfaes,Isle of Anglesey,Anglesey Llynfaes (Isle of Anglesey),Rural Industrial,North Wales,06/04/2004,,53.290642,-4.406563,379777,239687,,Locally-managed automatic monitoring,,
ANG7,,,Anglesey Penhesgyn,Isle of Anglesey,Anglesey Penhesgyn (Isle of Anglesey),Rural Background,North Wales,07/10/2011,01/11/2012,53.244542,-4.200089,374206,253290,,Locally-managed automatic monitoring,,
ANG9,,,Anglesey Penhesgyn 2,Isle of Anglesey,Anglesey Penhesgyn 2 (Isle of Anglesey),Rural Background,North Wales,14/01/2014,05/08/2016,53.24528,-4.199496,374286,253331,,Locally-managed automatic monitoring,,
ANG11,,,Anglesey Penhesgyn 3,Isle of Anglesey,Anglesey Penhesgyn 3 (Isle of Anglesey),Rural Industrial,North Wales,13/11/2017,,53.24528,-4.199496,374287,253332,,Locally-managed automatic monitoring,,
ANG1,,,Anglesey Penlon,Isle of Anglesey,Anglesey Penlon (Isle of Anglesey),Rural Background,North Wales,04/03/2003,11/04/2007,53.159902,-4.345197,365100,243300,,Locally-managed automatic monitoring,,
ANG8,,,Anglesey Wylfa,Isle of Anglesey,Anglesey Wylfa (Isle of Anglesey),Rural Background,North Wales,27/01/2013,13/01/2014,53.410829,-4.475976,393303,235525,,Locally-managed automatic monitoring,,
